Economy,Year,Rank,Overall DTF,Starting a business-Rank,Starting a business-DTF,Starting a Business - Procedure – Men (number),Starting a Business - Time – Men (days),Starting a Business - Cost – Men (% of income per capita),Starting a Business - Procedure – Women (number),Starting a Business - Time – Women (days),Starting a Business - Cost – Women (% of income per capita),Starting a Business - Paid-in min. capital (% of income per capita)
Finland,DB2013, ,82.09, ,93.11,3.0,14.0,1.0,3.0,14.0,1.0,7.0
Finland,DB2012, ,82.05, ,93.08,3.0,14.0,1.0,3.0,14.0,1.0,7.3
Finland,DB2011, ,81.31, ,93.04,3.0,14.0,1.1,3.0,14.0,1.1,7.9
Finland,DB2010, ,80.76, ,93.10,3.0,14.0,0.9,3.0,14.0,0.9,7.2
Finland,DB2009, , , ,93.09,3.0,14.0,1.0,3.0,14.0,1.0,7.4
Finland,DB2008, , , ,93.06,3.0,14.0,1.0,3.0,14.0,1.0,7.7
Finland,DB2007, , , ,91.83,3.0,14.0,1.1,3.0,14.0,1.1,27.1
Finland,DB2006, , , ,91.77,3.0,14.0,1.2,3.0,14.0,1.2,28.0
France,DB2017,29,76.27,27,93.27,5.0,3.5,0.7,5.0,3.5,0.7,0.0
France,DB2016,28,76.21,25,93.14,5.0,4.0,0.8,5.0,4.0,0.8,0.0
France,DB2015, ,75.34, ,93.00,5.0,4.5,0.9,5.0,4.5,0.9,0.0
France,DB2014, ,70.04, ,92.49,5.0,6.5,0.9,5.0,6.5,0.9,0.0
France,DB2013, ,70.29, ,92.49,5.0,6.5,0.9,5.0,6.5,0.9,0.0
France,DB2012, ,70.49, ,92.50,5.0,6.5,0.9,5.0,6.5,0.9,0.0
France,DB2011, ,70.46, ,92.50,5.0,6.5,0.9,5.0,6.5,0.9,0.0
France,DB2010, ,69.79, ,92.50,5.0,6.5,0.9,5.0,6.5,0.9,0.0
France,DB2009, , , ,92.48,5.0,6.5,1.0,5.0,6.5,1.0,0.0
France,DB2008, , , ,92.35,5.0,7.0,1.1,5.0,7.0,1.1,0.0
France,DB2007, , , ,92.34,5.0,7.0,1.1,5.0,7.0,1.1,0.0
France,DB2006, , , ,92.34,5.0,7.0,1.2,5.0,7.0,1.2,0.0
Gabon,DB2017,164,45.88,152,76.28,7.0,50.0,14.3,7.0,50.0,14.3,10.8
Gabon,DB2016,161,46.16,144,76.14,7.0,50.0,15.1,7.0,50.0,15.1,11.4
Gabon,DB2015, ,47.09, ,75.90,7.0,50.0,12.9,7.0,50.0,12.9,19.6
Gabon,DB2014, ,51.44, ,75.97,7.0,50.0,12.5,7.0,50.0,12.5,19.3
Gabon,DB2013, ,50.22, ,72.30,8.0,57.0,14.5,8.0,57.0,14.5,22.3
Gabon,DB2012, ,50.66, ,71.70,8.0,57.0,17.3,8.0,57.0,17.3,26.4
Gabon,DB2011, ,48.28, ,70.73,8.0,57.0,21.9,8.0,57.0,21.9,32.7
Gabon,DB2010, ,47.48, ,71.63,8.0,57.0,17.8,8.0,57.0,17.8,26.5
Gabon,DB2009, , , ,71.09,8.0,57.0,20.3,8.0,57.0,20.3,30.2
Gabon,DB2008, , , ,69.92,8.0,57.0,25.6,8.0,57.0,25.6,38.2
Gabon,DB2007, , , ,70.23,8.0,57.0,24.2,8.0,57.0,24.2,36.1
Gabon,DB2006, , , ,69.45,8.0,57.0,27.8,8.0,57.0,27.8,41.5
"Gambia, The",DB2017,145,51.70,168,69.37,7.0,25.0,125.2,7.0,25.0,125.2,0.0
"Gambia, The",DB2016,150,49.28,169,67.32,7.0,25.0,141.6,7.0,25.0,141.6,0.0
"Gambia, The",DB2015, ,48.65, ,68.37,7.0,26.0,131.2,7.0,26.0,131.2,0.0
"Gambia, The",DB2014, ,51.25, ,61.26,8.0,27.0,174.3,8.0,27.0,174.3,0.0
"Gambia, The",DB2013, ,51.71, ,63.20,8.0,27.0,158.7,8.0,27.0,158.7,0.0
"Gambia, The",DB2012, ,49.96, ,58.05,8.0,27.0,206.1,8.0,27.0,206.1,0.0
"Gambia, The",DB2011, ,48.88, ,58.09,8.0,27.0,199.6,8.0,27.0,199.6,0.0
"Gambia, The",DB2010, ,48.58, ,58.05,8.0,27.0,215.1,8.0,27.0,215.1,0.0
"Gambia, The",DB2009, , , ,58.05,8.0,27.0,254.9,8.0,27.0,254.9,0.0
"Gambia, The",DB2008, , , ,55.32,9.0,32.0,279.0,9.0,32.0,279.0,0.0
"Gambia, The",DB2007, , , ,58.05,8.0,27.0,292.1,8.0,27.0,292.1,0.0
"Gambia, The",DB2006, , , ,57.80,8.0,28.0,317.1,8.0,28.0,317.1,0.0
Georgia,DB2017,16,80.20,8,96.13,3.0,3.0,2.4,3.0,3.0,2.4,0.0
Georgia,DB2016,23,77.72,10,96.04,3.0,3.0,3.1,3.0,3.0,3.1,0.0
Georgia,DB2015, ,77.01, ,96.00,3.0,3.0,3.4,3.0,3.0,3.4,0.0
Georgia,DB2014, ,82.09, ,95.99,3.0,3.0,3.5,3.0,3.0,3.5,0.0
Georgia,DB2013, ,81.55, ,95.95,3.0,3.0,3.8,3.0,3.0,3.8,0.0
Georgia,DB2012, ,79.31, ,95.89,3.0,3.0,4.3,3.0,3.0,4.3,0.0
Georgia,DB2011, ,76.61, ,94.09,4.0,4.0,5.0,4.0,4.0,5.0,0.0
Georgia,DB2010, ,74.18, ,94.25,4.0,4.0,3.7,4.0,4.0,3.7,0.0
Georgia,DB2009, , , ,94.20,4.0,4.0,4.0,4.0,4.0,4.0,0.0
Georgia,DB2008, , , ,88.57,6.0,12.0,9.5,6.0,12.0,9.5,0.0
Georgia,DB2007, , , ,83.96,8.0,17.0,10.9,8.0,17.0,10.9,3.7
Georgia,DB2006, , , ,78.20,9.0,22.0,13.7,9.0,22.0,13.7,46.8
Germany,DB2017,17,79.87,114,83.42,9.0,10.5,1.9,9.0,10.5,1.9,32.9
Germany,DB2016,14,79.88,107,83.35,9.0,10.5,2.0,9.0,10.5,2.0,33.9
Germany,DB2015, ,79.20, ,81.36,9.0,14.5,8.9,9.0,14.5,8.9,35.8
Germany,DB2014, ,79.55, ,81.73,9.0,14.5,5.0,9.0,14.5,5.0,37.8
Germany,DB2013, ,79.24, ,81.65,9.0,14.5,5.0,9.0,14.5,5.0,39.0
Germany,DB2012, ,79.59, ,81.60,9.0,14.5,4.8,9.0,14.5,4.8,40.2
Germany,DB2011, ,79.45, ,81.48,9.0,14.5,5.0,9.0,14.5,5.0,41.9
Germany,DB2010, ,79.49, ,80.80,9.0,17.5,4.9,9.0,17.5,4.9,40.8
Germany,DB2009, , , ,80.60,9.0,17.5,5.8,9.0,17.5,5.8,42.2
Germany,DB2008, , , ,80.43,9.0,18.0,5.8,9.0,18.0,5.8,42.8
Germany,DB2007, , , ,79.28,9.0,22.0,5.3,9.0,22.0,5.3,46.2
Germany,DB2006, , , ,79.24,9.0,22.0,4.9,9.0,22.0,4.9,47.6
Ghana,DB2017,108,58.82,110,83.73,8.0,14.0,19.7,8.0,14.0,19.7,2.0
Ghana,DB2016,111,57.87,103,83.73,8.0,14.0,19.4,8.0,14.0,19.4,2.4
Ghana,DB2015, ,58.63, ,83.73,8.0,14.0,19.2,8.0,14.0,19.2,2.8
Ghana,DB2014, ,67.15, ,83.17,8.0,14.0,23.3,8.0,14.0,23.3,3.7
Ghana,DB2013, ,67.92, ,84.93,7.0,11.0,26.7,7.0,11.0,26.7,4.3
Ghana,DB2012, ,64.37, ,84.90,7.0,11.0,26.4,7.0,11.0,26.4,5.5
Ghana,DB2011, ,63.73, ,84.38,7.0,11.0,30.0,7.0,11.0,30.0,6.5
Ghana,DB2010, ,61.62, ,84.60,7.0,11.0,24.8,7.0,11.0,24.8,13.4
Ghana,DB2009, , , ,82.21,8.0,11.0,30.6,8.0,11.0,30.6,16.6
Ghana,DB2008, , , ,77.46,10.0,13.0,38.9,10.0,13.0,38.9,20.9
Ghana,DB2007, , , ,73.79,11.0,17.0,47.2,11.0,17.0,47.2,23.2
Ghana,DB2006, , , ,72.43,11.0,17.0,55.8,11.0,17.0,55.8,27.9
Greece,DB2017,61,68.67,56,90.70,5.0,13.0,2.2,5.0,13.0,2.2,0.0
Greece,DB2016,58,68.67,49,90.70,5.0,13.0,2.2,5.0,13.0,2.2,0.0
Greece,DB2015, ,68.56, ,90.71,5.0,13.0,2.2,5.0,13.0,2.2,0.0
Greece,DB2014, ,63.35, ,89.22,5.0,14.0,12.1,5.0,14.0,12.1,0.0
Greece,DB2013, ,62.66, ,78.57,11.0,11.0,20.5,11.0,11.0,20.5,24.4
Greece,DB2012, ,60.66, ,78.72,11.0,11.0,20.1,11.0,11.0,20.1,22.8
Greece,DB2011, ,60.42, ,70.78,15.0,19.0,20.7,15.0,19.0,20.7,22.3
Greece,DB2010, ,62.44, ,70.90,15.0,19.0,20.2,15.0,19.0,20.2,21.4
Greece,DB2009, , , ,70.73,15.0,19.0,22.5,15.0,19.0,22.5,19.6
Greece,DB2008, , , ,60.85,15.0,38.0,21.1,15.0,38.0,21.1,104.1
Greece,DB2007, , , ,60.03,15.0,38.0,21.7,15.0,38.0,21.7,116.0
Greece,DB2006, , , ,59.66,15.0,38.0,22.0,15.0,38.0,22.0,121.4
Grenada,DB2017,138,53.75,77,87.02,6.0,15.0,15.8,6.0,15.0,15.8,0.0
Grenada,DB2016,131,53.93,74,86.84,6.0,15.0,17.3,6.0,15.0,17.3,0.0
Grenada,DB2015, ,54.00, ,86.70,6.0,15.0,18.4,6.0,15.0,18.4,0.0
Grenada,DB2014, ,60.37, ,86.55,6.0,15.0,19.7,6.0,15.0,19.7,0.0
Grenada,DB2013, ,60.49, ,86.87,6.0,14.0,19.1,6.0,14.0,19.1,0.0
Grenada,DB2012, ,60.37, ,86.12,6.0,14.0,25.1,6.0,14.0,25.1,0.0
Grenada,DB2011, ,60.36, ,86.11,6.0,14.0,25.2,6.0,14.0,25.2,0.0
Grenada,DB2010, ,59.28, ,84.93,6.0,19.0,24.6,6.0,19.0,24.6,0.0
Grenada,DB2009, , , ,84.22,6.0,19.0,30.2,6.0,19.0,30.2,0.0
Grenada,DB2008, , , ,84.03,6.0,19.0,31.7,6.0,19.0,31.7,0.0
Grenada,DB2007, , , ,83.09,6.0,20.0,37.3,6.0,20.0,37.3,0.0
Grenada,DB2006, , , ,82.92,6.0,20.0,38.7,6.0,20.0,38.7,0.0
Guatemala,DB2017,88,62.93,119,82.31,7.0,19.5,24.1,7.0,19.5,24.1,17.2
Guatemala,DB2016,85,62.44,113,82.13,7.0,19.5,25.1,7.0,19.5,25.1,18.1
Guatemala,DB2015, ,63.40, ,81.99,7.0,19.5,26.0,7.0,19.5,26.0,18.7
Guatemala,DB2014, ,65.21, ,79.13,7.0,20.5,46.4,7.0,20.5,46.4,19.6
Guatemala,DB2013, ,62.12, ,66.58,12.0,40.0,48.1,12.0,40.0,48.1,20.9
Guatemala,DB2012, ,61.66, ,66.70,12.0,37.0,52.5,12.0,37.0,52.5,22.3
Guatemala,DB2011, ,61.24, ,67.00,12.0,37.0,49.1,12.0,37.0,49.1,24.2
Guatemala,DB2010, ,61.29, ,67.20,12.0,37.0,47.8,12.0,37.0,47.8,23.5
Guatemala,DB2009, , , ,67.09,12.0,34.0,53.4,12.0,34.0,53.4,26.3
Guatemala,DB2008, , , ,67.61,12.0,34.0,49.9,12.0,34.0,49.9,24.9
Guatemala,DB2007, , , ,67.53,13.0,27.0,52.1,13.0,27.0,52.1,26.4
Guatemala,DB2006, , , ,60.60,15.0,39.0,58.4,15.0,39.0,58.4,29.3
Guinea,DB2017,163,46.23,133,80.20,6.0,8.0,77.7,6.0,8.0,77.7,13.6
Guinea,DB2016,161,46.16,123,80.02,6.0,8.0,79.0,6.0,8.0,79.0,13.9
Guinea,DB2015, ,43.85, ,55.44,6.0,8.0,82.6,6.0,8.0,82.6,416.0
Guinea,DB2014, ,44.94, ,58.16,6.0,16.0,87.9,6.0,16.0,87.9,313.8
Guinea,DB2013, ,41.87, ,51.58,6.0,35.0,96.9,6.0,35.0,96.9,324.7
Guinea,DB2012, ,39.05, ,34.15,12.0,40.0,118.0,12.0,40.0,118.0,407.3
Guinea,DB2011, ,36.43, ,30.43,12.0,40.0,147.7,12.0,40.0,147.7,519.1
Guinea,DB2010, ,37.70, ,31.52,12.0,40.0,139.0,12.0,40.0,139.0,495.4
Guinea,DB2009, , , ,31.96,12.0,40.0,135.5,12.0,40.0,135.5,477.6
Guinea,DB2008, , , ,31.62,12.0,40.0,138.2,12.0,40.0,138.2,401.3
Guinea,DB2007, , , ,26.24,12.0,40.0,181.2,12.0,40.0,181.2,877.6
Guinea,DB2006, , , ,26.58,12.0,40.0,178.6,12.0,40.0,178.6,620.0
Guinea-Bissau,DB2017,172,41.63,176,63.86,8.0,8.0,36.9,9.0,9.0,36.9,295.7
Guinea-Bissau,DB2016,177,40.86,178,59.97,8.0,8.0,43.2,9.0,9.0,43.2,345.5
Guinea-Bissau,DB2015, ,39.52, ,55.69,8.0,8.0,50.1,9.0,9.0,50.1,401.3
Guinea-Bissau,DB2014, ,44.14, ,58.52,8.0,8.0,45.5,9.0,9.0,45.5,364.1
Guinea-Bissau,DB2013, ,42.21, ,60.56,8.0,8.0,42.2,9.0,9.0,42.2,338.0
Guinea-Bissau,DB2012, ,41.07, ,55.81,8.0,8.0,49.8,9.0,9.0,49.8,398.7
Guinea-Bissau,DB2011, ,33.69, ,4.29,16.0,216.0,183.3,17.0,217.0,183.3,415.1
Guinea-Bissau,DB2010, ,33.54, ,4.26,16.0,216.0,183.6,17.0,217.0,183.6,415.8
Guinea-Bissau,DB2009, , , ,2.21,16.0,259.0,465.7,17.0,260.0,465.7,1015.0
Guinea-Bissau,DB2008, , , ,2.21,16.0,259.0,461.9,17.0,260.0,461.9,1006.6
Guinea-Bissau,DB2007, , , ,2.21,16.0,260.0,472.1,17.0,261.0,472.1,1028.9
Guinea-Bissau,DB2006, , , ,2.21,16.0,259.0,505.6,17.0,260.0,505.6,1101.8
Guyana,DB2017,124,56.26,99,85.45,7.0,18.0,10.7,7.0,18.0,10.7,0.0
Guyana,DB2016,140,51.38,86,85.42,7.0,18.0,10.9,7.0,18.0,10.9,0.0
Guyana,DB2015, ,53.21, ,85.34,7.0,18.0,11.5,7.0,18.0,11.5,0.0
Guyana,DB2014, ,58.59, ,85.23,7.0,18.0,12.4,7.0,18.0,12.4,0.0
Guyana,DB2013, ,58.25, ,85.04,7.0,18.0,13.9,7.0,18.0,13.9,0.0
Guyana,DB2012, ,58.06, ,83.40,8.0,19.0,13.3,8.0,19.0,13.3,0.0
Guyana,DB2011, ,58.37, ,81.93,8.0,23.0,17.0,8.0,23.0,17.0,0.0
Guyana,DB2010, ,57.99, ,80.94,8.0,27.0,16.9,8.0,27.0,16.9,0.0
Guyana,DB2009, , , ,72.15,8.0,38.0,65.0,8.0,38.0,65.0,0.0
Guyana,DB2008, , , ,70.15,8.0,37.0,83.1,8.0,37.0,83.1,0.0
Guyana,DB2007, , , ,67.34,8.0,42.0,95.5,8.0,42.0,95.5,0.0
Guyana,DB2006, , , ,67.22,8.0,42.0,96.5,8.0,42.0,96.5,0.0
Haiti,DB2017,181,38.66,188,33.61,12.0,97.0,219.3,12.0,97.0,219.3,15.5
Haiti,DB2016,180,38.51,189,33.53,12.0,97.0,235.3,12.0,97.0,235.3,16.7
Haiti,DB2015, ,39.42, ,33.48,12.0,97.0,246.7,12.0,97.0,246.7,17.6
Haiti,DB2014, ,42.82, ,33.39,12.0,97.0,264.8,12.0,97.0,264.8,19.1
Haiti,DB2013, ,42.63, ,32.51,12.0,134.0,286.6,12.0,134.0,286.6,21.0
Haiti,DB2012, ,42.55, ,32.37,12.0,134.0,314.2,12.0,134.0,314.2,23.2
Haiti,DB2011, ,43.12, ,32.53,12.0,134.0,250.9,12.0,134.0,250.9,20.7
Haiti,DB2010, ,42.99, ,31.11,13.0,224.0,204.0,13.0,224.0,204.0,19.8
Haiti,DB2009, , , ,30.69,13.0,224.0,266.0,13.0,224.0,266.0,26.6
Haiti,DB2008, , , ,30.34,13.0,202.0,262.8,13.0,202.0,262.8,32.2
Haiti,DB2007, , , ,30.40,13.0,202.0,252.4,13.0,202.0,252.4,31.2
Haiti,DB2006, , , ,29.93,13.0,202.0,308.1,13.0,202.0,308.1,38.7
Honduras,DB2017,105,59.09,148,77.02,11.0,13.0,41.1,11.0,13.0,41.1,0.0
Honduras,DB2016,101,59.16,138,76.90,11.0,13.0,42.0,11.0,13.0,42.0,0.0
Honduras,DB2015, ,58.03, ,74.30,12.0,14.0,43.3,12.0,14.0,43.3,11.5
Honduras,DB2014, ,59.68, ,74.18,12.0,14.0,43.9,12.0,14.0,43.9,12.2
Honduras,DB2013, ,59.91, ,74.11,12.0,14.0,44.3,12.0,14.0,44.3,12.6
Honduras,DB2012, ,59.23, ,73.92,12.0,14.0,45.3,12.0,14.0,45.3,13.6
Honduras,DB2011, ,58.30, ,73.85,12.0,14.0,45.7,12.0,14.0,45.7,14.0
Honduras,DB2010, ,59.08, ,73.86,12.0,14.0,45.6,12.0,14.0,45.6,13.8
Honduras,DB2009, , , ,71.56,12.0,20.0,50.9,12.0,20.0,50.9,16.0
Honduras,DB2008, , , ,70.31,12.0,20.0,58.0,12.0,20.0,58.0,21.9
Honduras,DB2007, , , ,60.83,12.0,57.0,59.0,12.0,57.0,59.0,22.9
Honduras,DB2006, , , ,56.90,12.0,69.0,64.1,12.0,69.0,64.1,27.3
"Hong Kong SAR, China",DB2017,4,84.21,3,98.20,2.0,1.5,0.6,2.0,1.5,0.6,0.0
"Hong Kong SAR, China",DB2016,5,83.77,4,98.12,2.0,1.5,1.2,2.0,1.5,1.2,0.0
"Hong Kong SAR, China",DB2015, ,82.97, ,96.38,3.0,2.5,1.4,3.0,2.5,1.4,0.0
"Hong Kong SAR, China",DB2014, ,88.67, ,96.45,3.0,2.5,0.8,3.0,2.5,0.8,0.0
"Hong Kong SAR, China",DB2013, ,89.33, ,96.32,3.0,2.5,1.9,3.0,2.5,1.9,0.0
"Hong Kong SAR, China",DB2012, ,89.34, ,96.31,3.0,2.5,1.9,3.0,2.5,1.9,0.0
"Hong Kong SAR, China",DB2011, ,88.67, ,95.42,3.0,6.0,2.0,3.0,6.0,2.0,0.0
"Hong Kong SAR, China",DB2010, ,88.28, ,95.45,3.0,6.0,1.8,3.0,6.0,1.8,0.0
"Hong Kong SAR, China",DB2009, , , ,91.23,5.0,11.0,2.0,5.0,11.0,2.0,0.0
"Hong Kong SAR, China",DB2008, , , ,91.10,5.0,11.0,3.1,5.0,11.0,3.1,0.0
"Hong Kong SAR, China",DB2007, , , ,91.07,5.0,11.0,3.3,5.0,11.0,3.3,0.0
"Hong Kong SAR, China",DB2006, , , ,91.06,5.0,11.0,3.4,5.0,11.0,3.4,0.0
Hungary,DB2017,41,73.07,75,87.28,6.0,7.0,7.1,6.0,7.0,7.1,45.5
Hungary,DB2016,40,72.74,71,87.10,6.0,7.0,7.5,6.0,7.0,7.5,47.7
Hungary,DB2015, ,72.36, ,86.58,6.0,7.0,8.5,6.0,7.0,8.5,54.0
Hungary,DB2014, ,66.92, ,89.32,6.0,7.0,8.8,6.0,7.0,8.8,9.4
Hungary,DB2013, ,66.92, ,89.31,6.0,7.0,8.9,6.0,7.0,8.9,9.4
Hungary,DB2012, ,66.94, ,91.43,5.0,5.0,7.6,5.0,5.0,7.6,9.7
Hungary,DB2011, ,67.20, ,91.33,5.0,5.0,8.2,5.0,5.0,8.2,10.2
Hungary,DB2010, ,65.39, ,91.35,5.0,5.0,8.0,5.0,5.0,8.0,10.2
Hungary,DB2009, , , ,91.02,5.0,6.0,8.4,5.0,6.0,8.4,10.8
Hungary,DB2008, , , ,80.75,7.0,17.0,17.7,7.0,17.0,17.7,65.1
Hungary,DB2007, , , ,74.26,7.0,39.0,20.9,7.0,39.0,20.9,74.2
Hungary,DB2006, , , ,73.72,7.0,39.0,22.4,7.0,39.0,22.4,79.6
Iceland,DB2017,20,78.91,34,92.64,5.0,3.5,2.0,5.0,3.5,2.0,7.6
Iceland,DB2016,18,78.88,35,92.44,5.0,4.0,2.2,5.0,4.0,2.2,8.4
Iceland,DB2015, ,78.70, ,92.35,5.0,4.0,2.4,5.0,4.0,2.4,9.3
Iceland,DB2014, ,83.04, ,92.12,5.0,4.5,2.7,5.0,4.5,2.7,10.5
Iceland,DB2013, ,82.04, ,92.02,5.0,4.5,3.0,5.0,4.5,3.0,11.5
Iceland,DB2012, ,81.92, ,91.92,5.0,4.5,3.3,5.0,4.5,3.3,12.6
Iceland,DB2011, ,81.01, ,91.96,5.0,5.0,2.3,5.0,5.0,2.3,12.0
Iceland,DB2010, ,80.70, ,91.63,5.0,5.0,3.0,5.0,5.0,3.0,15.8
Iceland,DB2009, , , ,91.81,5.0,5.0,2.6,5.0,5.0,2.6,13.6
Iceland,DB2008, , , ,91.77,5.0,5.0,2.7,5.0,5.0,2.7,14.1
Iceland,DB2007, , , ,91.62,5.0,5.0,3.0,5.0,5.0,3.0,15.9
Iceland,DB2006, , , ,91.58,5.0,5.0,2.8,5.0,5.0,2.8,17.1
India,DB2017,130,55.27,155,74.31,12.9,26.0,13.8,12.9,26.0,13.8,0.0
India,DB2016,131,53.93,151,73.74,12.9,28.0,14.3,12.9,28.0,14.3,0.0
India,DB2015, ,52.87, ,63.70,13.9,33.5,16.2,13.9,33.5,16.2,111.2
India,DB2014, ,50.34, ,61.02,13.5,31.2,41.2,13.5,31.2,41.2,124.4
India,DB2013, ,63.88, ,28.12,6.6,13.2,20.3,6.6,13.2,20.3,65.9
India,DB2012, ,63.50, ,27.67,6.6,14.1,19.7,6.6,14.1,19.7,70.3
India,DB2011, ,62.07, ,26.02,6.6,14.1,23.7,6.6,14.1,23.7,88.7
India,DB2010, ,61.48, ,23.53,7.0,15.0,31.0,7.0,15.0,31.0,99.1
India,DB2009, , , ,22.45,7.0,15.0,32.9,7.0,15.0,32.9,112.5
India,DB2008, , , ,21.07,7.0,16.0,35.1,7.0,16.0,35.1,126.7
India,DB2007, , , ,20.67,6.1,16.9,36.9,6.1,16.9,36.9,147.8
India,DB2006, , , ,13.80,6.1,43.7,29.2,6.1,43.7,29.2,165.5
India - Delhi,DB2017, ,55.05,170,75.99,12.0,26.0,11.4,12.0,26.0,11.4,0.0
India - Delhi,DB2016, ,53.23, ,75.44,12.0,28.0,11.8,12.0,28.0,11.8,0.0
India - Delhi,DB2015, ,51.85, ,65.31,13.0,34.0,13.4,13.0,34.0,13.4,111.2
India - Delhi,DB2014, ,48.05, ,61.25,13.0,34.0,39.3,13.0,34.0,39.3,124.4
India - Mumbai,DB2017, ,55.52,181,72.41,14.0,26.0,16.5,14.0,26.0,16.5,0.0
India - Mumbai,DB2016, ,54.71, ,71.83,14.0,28.0,17.1,14.0,28.0,17.1,0.0
India - Mumbai,DB2015, ,54.02, ,61.89,15.0,33.0,19.3,15.0,33.0,19.3,111.2
India - Mumbai,DB2014, ,52.93, ,60.76,14.0,28.0,43.5,14.0,28.0,43.5,124.4
India - Mumbai,DB2013, ,52.74, ,59.83,14.0,28.0,43.1,14.0,28.0,43.1,140.1
India - Mumbai,DB2012, ,52.41, ,58.87,14.0,30.0,42.0,14.0,30.0,42.0,149.6
India - Mumbai,DB2011, ,50.09, ,55.36,14.0,30.0,50.5,14.0,30.0,50.5,188.8
India - Mumbai,DB2010, ,48.77, ,50.06,15.0,32.0,66.1,15.0,32.0,66.1,210.9
India - Mumbai,DB2009, , , ,47.78,15.0,32.0,70.1,15.0,32.0,70.1,239.4
India - Mumbai,DB2008, , , ,44.83,15.0,34.0,74.6,15.0,34.0,74.6,269.5
India - Mumbai,DB2007, , , ,43.98,13.0,36.0,78.4,13.0,36.0,78.4,314.4
India - Mumbai,DB2006, , , ,29.35,13.0,93.0,62.0,13.0,93.0,62.0,352.1
Indonesia,DB2017,91,61.52,151,76.43,11.2,24.9,19.4,11.2,24.9,19.4,0.0
Indonesia,DB2016,106,58.51,167,67.51,12.0,47.8,19.9,12.0,47.8,19.9,31.0
Indonesia,DB2015, ,56.68, ,65.90,12.0,52.5,21.1,12.0,52.5,21.1,35.5
Indonesia,DB2014, ,57.32, ,60.97,11.2,75.5,21.9,11.2,75.5,21.9,38.5
Indonesia,DB2013, ,60.85, ,54.11,7.8,37.4,17.7,7.8,37.4,17.7,32.8
Indonesia,DB2012, ,60.69, ,53.81,7.8,37.4,18.3,7.8,37.4,18.3,36.3
Indonesia,DB2011, ,59.98, ,51.92,8.6,38.2,20.1,8.6,38.2,20.1,41.4
Indonesia,DB2010, ,59.59, ,49.12,8.6,48.4,19.5,8.6,48.4,19.5,46.6
Indonesia,DB2009, , , ,38.12,9.4,64.7,59.8,9.4,64.7,59.8,57.9
Indonesia,DB2008, , , ,35.06,10.1,87.4,62.4,10.1,87.4,62.4,30.0
Indonesia,DB2007, , , ,34.25,10.1,81.1,67.6,10.1,81.1,67.6,32.5
Indonesia,DB2006, , , ,32.43,10.1,127.9,79.4,10.1,127.9,79.4,38.1
Indonesia - Jakarta,DB2017, ,61.77,159,77.50,11.0,22.0,19.1,11.0,22.0,19.1,0.0
Indonesia - Jakarta,DB2016, ,58.76, ,67.90,12.0,46.5,19.4,12.0,46.5,19.4,31.0
Indonesia - Jakarta,DB2015, ,56.90, ,66.03,12.0,52.5,20.1,12.0,52.5,20.1,35.5
Indonesia - Jakarta,DB2014, ,57.27, ,59.85,11.0,82.0,20.5,11.0,82.0,20.5,38.5
Indonesia - Jakarta,DB2013, ,58.72, ,69.37,10.0,48.0,22.7,10.0,48.0,22.7,42.0
Indonesia - Jakarta,DB2012, ,58.39, ,68.98,10.0,48.0,23.5,10.0,48.0,23.5,46.6
Indonesia - Jakarta,DB2011, ,57.46, ,66.57,11.0,49.0,25.8,11.0,49.0,25.8,53.1
Indonesia - Jakarta,DB2010, ,56.84, ,62.98,11.0,62.0,25.0,11.0,62.0,25.0,59.7
Indonesia - Jakarta,DB2009, , , ,48.87,12.0,83.0,76.7,12.0,83.0,76.7,74.2
Indonesia - Jakarta,DB2008, , , ,44.96,13.0,112.0,80.0,13.0,112.0,80.0,38.4
Indonesia - Jakarta,DB2007, , , ,43.91,13.0,104.0,86.7,13.0,104.0,86.7,41.7
Indonesia - Jakarta,DB2006, , , ,41.58,13.0,164.0,101.7,13.0,164.0,101.7,48.9
Indonesia - Surabaya,DB2017, ,60.62,179,72.62,12.0,35.0,20.3,12.0,35.0,20.3,0.0
Indonesia - Surabaya,DB2016, ,57.63, ,66.10,12.0,52.5,21.8,12.0,52.5,21.8,31.0
Indonesia - Surabaya,DB2015, ,55.93, ,65.42,12.0,52.5,24.9,12.0,52.5,24.9,35.5
Indonesia - Surabaya,DB2014, ,57.50, ,64.96,12.0,52.5,27.1,12.0,52.5,27.1,38.5
"Iran, Islamic Rep",DB2017,120,57.26,102,85.06,8.0,15.0,1.1,9.0,16.0,1.1,0.0
"Iran, Islamic Rep",DB2016,117,57.08,97,84.86,8.0,15.0,2.7,9.0,16.0,2.7,0.0
"Iran, Islamic Rep",DB2015, ,56.27, ,84.82,8.0,15.0,3.1,9.0,16.0,3.1,0.0
"Iran, Islamic Rep",DB2014, ,58.81, ,82.58,9.0,18.0,3.1,10.0,19.0,3.1,0.0
"Iran, Islamic Rep",DB2013, ,58.66, ,82.55,9.0,18.0,3.4,10.0,19.0,3.4,0.0
"Iran, Islamic Rep",DB2012, ,57.08, ,85.21,8.0,13.0,3.9,9.0,14.0,3.9,0.0
"Iran, Islamic Rep",DB2011, ,56.98, ,85.19,8.0,13.0,4.2,9.0,14.0,4.2,0.0
"Iran, Islamic Rep",DB2010, ,56.78, ,85.72,8.0,11.0,3.9,9.0,12.0,3.9,0.0
